Year,All adults/% overweight including obese,All adults/Mean BMI,All adults/Standard error of the mean,16-24 years/% overweight including obese,16-24 years/Mean BMI,16-24 years/Standard error of the mean,% overweight including obese,Mean BMI,Standard error of the mean,35-44 years/% overweight including obese,35-44 years/Mean BMI,35-44 years/Standard error of the mean,45-54 years/% overweight including obese,45-54 years/Mean BMI,45-54 years/Standard error of the mean,55-64 years/% overweight including obese,55-64 years/Mean BMI,55-64 years/Standard error of the mean,65-74 years/% overweight including obese,65-74 years/Mean BMI,65-74 years/Standard error of the mean,75+ years/% overweight including obese,75+ years/Mean BMI,75+ years/Standard error of the mean
1993,53,25.8,0.04,27,23.4,0.09,42,25,0.08,54,26,0.1,62,26.7,0.09,67,27.1,0.1,66,26.8,0.1,58,25.9,0.13
1994,53,25.9,0.04,29,23.5,0.1,43,25,0.08,53,26,0.09,61,26.5,0.1,67,27.2,0.11,68,27.2,0.11,56,26,0.13
1995,55,26,0.04,28,23.4,0.1,44,25.2,0.09,55,26.1,0.09,63,26.9,0.1,69,27.3,0.11,69,27,0.11,60,26.1,0.14
1996,56,26.1,0.04,27,23.5,0.1,49,25.5,0.09,55,26.2,0.09,64,26.9,0.09,71,27.6,0.1,69,27.1,0.1,62,26.4,0.13
1997,57,26.3,0.06,27,23.4,0.14,48,25.6,0.12,57,26.5,0.14,66,27.2,0.13,71,27.9,0.17,71,27.4,0.15,62,26.4,0.18
1998,58,26.4,0.05,28,23.6,0.11,49,25.8,0.1,57,26.5,0.1,66,27.2,0.09,71,27.7,0.11,73,27.7,0.12,60,26.4,0.14
1999,58,26.4,0.07,28,23.5,0.16,48,25.7,0.14,59,26.6,0.14,66,27.3,0.15,71,27.6,0.15,71,27.6,0.17,64,26.6,0.19
2000,60,26.7,0.07,29,23.5,0.2,51,26.1,0.14,59,26.8,0.14,66,27.3,0.16,75,28.1,0.16,73,27.9,0.18,66,26.8,0.19
2001,62,26.9,0.05,35,24.1,0.13,52,26.1,0.11,61,27,0.1,70,27.8,0.11,73,28,0.11,74,27.8,0.11,65,26.7,0.14
2002,61,26.8,0.07,31,24,0.09,53,26.2,0.17,63,27.1,0.14,69,27.7,0.18,70,27.8,0.16,72,27.9,0.18,68,27,0.21
2003,60,26.8,0.05,31,23.9,0.14,53,26.2,0.12,64,27.2,0.11,68,27.7,0.12,72,27.9,0.1,74,28.1,0.13,68,27.2,0.15
2004,62,26.9,0.08,33,24.1,0.22,54,26,0.17,65,27.3,0.16,71,27.8,0.18,73,28.2,0.16,72,28,0.21,69,26.9,0.21
2005,61,26.9,0.07,32,24,0.19,53,26.2,0.16,64,27.4,0.16,69,27.9,0.16,70,27.9,0.17,73,28.1,0.12,65,26.9,0.13
2006,62,27,0.06,33,24.1,0.15,55,26.3,0.13,64,27.3,0.11,69,27.8,0.11,73,28.3,0.12,76,28.4,0.13,69,27.3,0.15
2007,61,27,0.08,33,24,0.2,49,26,0.18,65,27.3,0.16,68,28,0.18,74,28.2,0.18,73,28.1,0.17,69,27.2,0.21
2008,61,27,0.06,33,24,0.14,52,26.2,0.13,65,27.5,0.12,69,27.9,0.12,73,28.3,0.11,77,28.6,0.13,68,27.3,0.15
2009,61,27,0.1,37,24.3,0.26,48,25.8,0.24,62,27.2,0.2,71,28.1,0.22,75,28.4,0.21,78,28.4,0.21,66,27.2,0.26
2010,63,27.3,0.09,33,24.3,0.2,53,26.2,0.18,66,27.6,0.18,71,28.4,0.17,75,28.6,0.17,78,28.7,0.17,70,27.6,0.18
2011,62,27.1,0.09,32,24.1,0.21,51,26.2,0.17,65,27.2,0.16,71,28.3,0.17,72,28.3,0.19,74,28.3,0.17,72,28,0.18
2012,62,27.1,0.08,36,24.5,0.2,51,26.1,0.19,64,27.3,0.17,72,28.3,0.17,73,28.3,0.17,73,28.3,0.17,70,27.6,0.19
2013,62,27.2,0.08,33,24,0.2,56,26.4,0.18,64,27.6,0.18,71,28.2,0.15,72,28.4,0.19,74,28.4,0.17,68,27.4,0.19
2014,62,27.2,0.09,32,24.1,0.23,51,26.3,0.21,64,27.4,0.18,69,28.3,0.16,74,28.8,0.19,74,28.1,0.17,74,27.8,0.18
2015,63,27.4,0.08,39,25,0.3,52,26.4,0.21,65,27.4,0.17,71,28.3,0.18,75,28.7,0.19,71,28.3,0.17,71,27.5,0.19
2016,61,27.3,0.09,34,24.2,0.22,50,26.2,0.2,63,27.5,0.21,71,28.5,0.18,72,28.5,0.17,74,28.5,0.19,71,27.7,0.19
2017,64,27.7,0.09,37,24.8,0.3,57,27,0.22,65,27.7,0.18,72,29,0.2,73,28.6,0.17,75,28.5,0.19,72,28,0.2
2018,63,27.5,0.09,35,24.5,0.24,54,26.6,0.19,64,27.6,0.19,70,28.6,0.19,74,28.7,0.18,75,28.5,0.16,71,27.7,0.19
2019,64,27.6,0.1,37,24.6,0.26,57,27,0.25,64,27.8,0.21,73,28.6,0.17,72,28.6,0.18,75,28.7,0.18,71,27.7,0.19
